name	generic	manufacturer	category	form	strength	reg_no	status	source
Coartem	Artemether + Lumefantrine	Novartis	Antimalarial	Tablet	20mg/120mg		active	brand:national first-line ACT
Coartem Dispersible	Artemether + Lumefantrine	Novartis	Antimalarial	Dispersible tablet	20mg/120mg		active	brand:national first-line ACT
Coartem 80/480	Artemether + Lumefantrine	Novartis	Antimalarial	Tablet	80mg/480mg		active	brand:national first-line ACT
Lonart DS	Artemether + Lumefantrine	Bliss GVS Pharma	Antimalarial	Tablet	80mg/480mg		active	brand:common Ghana market
Lonart	Artemether + Lumefantrine	Bliss GVS Pharma	Antimalarial	Tablet	20mg/120mg		active	brand:common Ghana market
Artefan	Artemether + Lumefantrine	Ajanta Pharma	Antimalarial	Tablet	20mg/120mg		active	brand:common Ghana market
Artefan 80/480	Artemether + Lumefantrine	Ajanta Pharma	Antimalarial	Tablet	80mg/480mg		active	brand:common Ghana market
Lumartem	Artemether + Lumefantrine	Cipla	Antimalarial	Tablet	20mg/120mg		active	brand:common Ghana market
Combiart	Artemether + Lumefantrine	Strides Pharma	Antimalarial	Tablet	20mg/120mg		active	brand:common Ghana market
Amatem Softgel	Artemether + Lumefantrine	Elbe Pharma	Antimalarial	Soft gelatin capsule	40mg/240mg		active	brand:common Ghana market
Amatem Forte Softgel	Artemether + Lumefantrine	Elbe Pharma	Antimalarial	Soft gelatin capsule	80mg/480mg		active	brand:common Ghana market
P-Alaxin	Dihydroartemisinin + Piperaquine	Bliss GVS Pharma	Antimalarial	Tablet	40mg/320mg		active	brand:common Ghana market
Duo-Cotecxin	Dihydroartemisinin + Piperaquine	Zhejiang Holley	Antimalarial	Tablet	40mg/320mg		active	brand:common Ghana market
Artesunate Injection	Artesunate	Guilin Pharmaceutical	Antimalarial	Injection	60mg		active	brand:WHO-prequalified severe malaria treatment
Camosunate	Artesunate + Amodiaquine	Adams Pharma	Antimalarial	Tablet	100mg/270mg		active	brand:common Ghana market
Artesunate + Amodiaquine	Artesunate + Amodiaquine		Antimalarial	Tablet	100mg/270mg		active	eml:Ghana EML antimalarial
Quinine Sulphate	Quinine		Antimalarial	Tablet	300mg		active	eml:Ghana EML antimalarial
Sulphadoxine + Pyrimethamine	Sulphadoxine + Pyrimethamine		Antimalarial	Tablet	500mg/25mg		active	eml:IPTp in pregnancy per GHS policy
Panadol	Paracetamol	Haleon (GSK)	Analgesic	Tablet	500mg		active	brand:common Ghana market
Panadol Extra	Paracetamol + Caffeine	Haleon (GSK)	Analgesic	Tablet	500mg/65mg		active	brand:common Ghana market
Efpac	Paracetamol + Aspirin + Caffeine	Ernest Chemists	Analgesic	Tablet			active	brand:Ghanaian manufacturer
Letap Paracetamol	Paracetamol	Letap Pharmaceuticals	Analgesic	Tablet	500mg		active	brand:Ghanaian manufacturer
Ayrton Paracetamol	Paracetamol	Ayrton Drug Manufacturing	Analgesic	Tablet	500mg		active	brand:Ghanaian manufacturer
M&G Paracetamol	Paracetamol	M&G Pharmaceuticals	Analgesic	Tablet	500mg		active	brand:Ghanaian manufacturer
Paracetamol	Paracetamol		Analgesic	Tablet	500mg		active	eml:Ghana EML analgesic
Paracetamol Syrup	Paracetamol		Analgesic	Oral suspension	120mg/5ml		active	eml:Ghana EML analgesic
Ibuprofen	Ibuprofen		Analgesic	Tablet	200mg		active	eml:Ghana EML analgesic
Ibuprofen 400	Ibuprofen		Analgesic	Tablet	400mg		active	eml:Ghana EML analgesic
Diclofenac	Diclofenac sodium		Analgesic	Tablet	50mg		active	eml:Ghana EML analgesic
Voltaren	Diclofenac sodium	Novartis	Analgesic	Tablet	50mg		active	brand:common Ghana market
Cataflam	Diclofenac potassium	Novartis	Analgesic	Tablet	50mg		active	brand:common Ghana market
Gebedol Forte	Diclofenac + Paracetamol	Denk Pharma	Analgesic	Tablet			active	brand:common Ghana market
Aspirin	Acetylsalicylic acid		Analgesic	Tablet	300mg		active	eml:Ghana EML analgesic
Tramadol	Tramadol hydrochloride		Analgesic	Capsule	50mg		active	eml:prescription-only; FDA Ghana controlled
Amoxicillin	Amoxicillin		Antibiotic	Capsule	500mg		active	eml:Ghana EML antibiotic
Amoxicillin 250	Amoxicillin		Antibiotic	Capsule	250mg		active	eml:Ghana EML antibiotic
Amoxicillin Suspension	Amoxicillin		Antibiotic	Oral suspension	125mg/5ml		active	eml:Ghana EML antibiotic
Augmentin	Amoxicillin + Clavulanic acid	GlaxoSmithKline	Antibiotic	Tablet	500mg/125mg		active	brand:common Ghana market
Augmentin 1g	Amoxicillin + Clavulanic acid	GlaxoSmithKline	Antibiotic	Tablet	875mg/125mg		active	brand:common Ghana market
Amoksiklav	Amoxicillin + Clavulanic acid	Sandoz	Antibiotic	Tablet	500mg/125mg		active	brand:common Ghana market
Co-Amoxiclav	Amoxicillin + Clavulanic acid		Antibiotic	Tablet	500mg/125mg		active	eml:Ghana EML antibiotic
Flagyl	Metronidazole	Sanofi	Antibiotic	Tablet	400mg		active	brand:common Ghana market
Metronidazole	Metronidazole		Antibiotic	Tablet	400mg		active	eml:Ghana EML antibiotic
Metronidazole Suspension	Metronidazole		Antibiotic	Oral suspension	200mg/5ml		active	eml:Ghana EML antibiotic
Ciprotab	Ciprofloxacin	Fidson Healthcare	Antibiotic	Tablet	500mg		active	brand:common West Africa market
Ciprofloxacin	Ciprofloxacin		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Azithromycin	Azithromycin		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Zithromax	Azithromycin	Pfizer	Antibiotic	Tablet	500mg		active	brand:common Ghana market
Cefuroxime	Cefuroxime		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Zinnat	Cefuroxime	GlaxoSmithKline	Antibiotic	Tablet	500mg		active	brand:common Ghana market
Ceftriaxone Injection	Ceftriaxone		Antibiotic	Injection	1g		active	eml:Ghana EML antibiotic
Cloxacillin	Cloxacillin		Antibiotic	Capsule	500mg		active	eml:Ghana EML antibiotic
Flucloxacillin	Flucloxacillin		Antibiotic	Capsule	500mg		active	eml:Ghana EML antibiotic
Erythromycin	Erythromycin		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Doxycycline	Doxycycline		Antibiotic	Capsule	100mg		active	eml:Ghana EML antibiotic
Gentamicin Injection	Gentamicin		Antibiotic	Injection	80mg/2ml		active	eml:Ghana EML antibiotic
Chloramphenicol	Chloramphenicol		Antibiotic	Capsule	250mg		active	eml:Ghana EML antibiotic
Cotrimoxazole	Sulfamethoxazole + Trimethoprim		Antibiotic	Tablet	400mg/80mg		active	eml:Ghana EML antibiotic
Septrin	Sulfamethoxazole + Trimethoprim	Aspen	Antibiotic	Tablet	400mg/80mg		active	brand:common Ghana market
Clarithromycin	Clarithromycin		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Levofloxacin	Levofloxacin		Antibiotic	Tablet	500mg		active	eml:Ghana EML antibiotic
Nitrofurantoin	Nitrofurantoin		Antibiotic	Tablet	100mg		active	eml:Ghana EML antibiotic
Penicillin V	Phenoxymethylpenicillin		Antibiotic	Tablet	250mg		active	eml:Ghana EML antibiotic
Benzathine Penicillin	Benzathine benzylpenicillin		Antibiotic	Injection	2.4MU		active	eml:Ghana EML antibiotic
Zentel	Albendazole	GlaxoSmithKline	Anthelmintic	Tablet	400mg		active	brand:common Ghana market
Albendazole	Albendazole		Anthelmintic	Tablet	400mg		active	eml:Ghana EML anthelmintic
Vermox	Mebendazole	Johnson & Johnson	Anthelmintic	Tablet	500mg		active	brand:common Ghana market
Mebendazole	Mebendazole		Anthelmintic	Tablet	100mg		active	eml:Ghana EML anthelmintic
Praziquantel	Praziquantel		Anthelmintic	Tablet	600mg		active	eml:Ghana EML anthelmintic
Ivermectin	Ivermectin		Anthelmintic	Tablet	3mg		active	eml:Ghana EML anthelmintic
ORS	Oral rehydration salts		Rehydration	Powder for solution	20.5g/1L		active	eml:Ghana EML diarrhoea management
Zinc Sulphate	Zinc sulphate		Rehydration	Dispersible tablet	20mg		active	eml:Ghana EML diarrhoea management
Loperamide	Loperamide		Gastrointestinal	Capsule	2mg		active	eml:common OTC
Imodium	Loperamide	Johnson & Johnson	Gastrointestinal	Capsule	2mg		active	brand:common Ghana market
Danacid	Magnesium trisilicate compound	Danadams Pharmaceuticals	Antacid	Tablet			active	brand:Ghanaian manufacturer
Gaviscon	Sodium alginate compound	Reckitt	Antacid	Oral suspension			active	brand:common Ghana market
Omeprazole	Omeprazole		Gastrointestinal	Capsule	20mg		active	eml:Ghana EML ulcer treatment
Losec	Omeprazole	AstraZeneca	Gastrointestinal	Capsule	20mg		active	brand:common Ghana market
Ranitidine	Ranitidine		Gastrointestinal	Tablet	150mg		active	eml:legacy; withdrawn in several markets
Buscopan	Hyoscine butylbromide	Sanofi	Gastrointestinal	Tablet	10mg		active	brand:common Ghana market
Amlodipine	Amlodipine		Antihypertensive	Tablet	5mg		active	eml:Ghana EML cardiovascular
