a	b	note
Metformin	Metronidazole	Different medicines with similar names — diabetes vs infection treatment
Chlorpromazine	Chlorpheniramine	Different medicines with similar names — antipsychotic vs allergy treatment
Hydralazine	Hydroxyzine	Different medicines with similar names — blood pressure vs allergy/anxiety
Prednisone	Prednisolone	Related but distinct steroids — dose guidance differs
Quinine	Quinidine	Different medicines — malaria vs heart rhythm treatment
Ceftriaxone	Cefotaxime	Different injectable antibiotics — not interchangeable without advice
Carbamazepine	Oxcarbazepine	Related but distinct epilepsy medicines — doses differ
Tramadol	Trazodone	Different medicines — pain relief vs antidepressant
Glibenclamide	Glimepiride	Different diabetes medicines — doses are not interchangeable
Amlodipine	Amiloride	Different medicines — calcium blocker vs diuretic
Coartem	Combiart	Both are registered artemether/lumefantrine brands — confirm which one you hold
Lonart	Lumartem	Both are registered artemether/lumefantrine brands — confirm which one you hold
